source,fact
Alt News,The woman lashed out at Rahul Gandhi to oppose the Modi government on the Kashmir issue?
Alt News,Share old photos of garbage spread after Glastonbury Festival targeting Gita Thanburg
Alt News,A 458 -bed hospital in Kiradi on paper was built by 2020 but not on the ground?
Alt News,Punjab Chief Minister Bhagwant Mann argued with people during a rally?
Alt News,"Aditya Thackeray removed the word 'Minister' from Twitter Bio? Media, journalists wrong claims"
Alt News,Video of farmer demonstration in Rajasthan shared with the wrong claim of Nupur Sharma's arrest
Alt News,Noida's old video shared with claims of taking out a rally in support of Nupur Sharma in Jammu
Alt News,"Pictures of Iftar held at HDFC Bank, Barabanki shared with communal angle"
Alt News,Has the Kejriwal government ordered a return of only Muslim students in Delhi?
Alt News,Congress leader Adhir Ranjan Chaudhary has a disputed tweet on Rajiv Gandhi's death anniversary.
Alt News,UP government officials ignored the phone call of CM Yogi Adityanath?
Alt News,A small part of a film made on Chechnya war recently shared by linking to the Russia-Ukraine controversy
Alt News,The picture of the register car under the new BH-series was shared with incomplete information
Alt News,The UP police arrested the SP leader's daughter? Photo viral with fake claims
Alt News,Fact-check: The SP leader's daughter accused the government while pretending to be stranded in Ukraine?
Alt News,Screenshots share fake tweet in the name of CNN news channel amidst Russia-Ukraine Jung
Alt News,Old pictures of Ukraine President wearing Army uniforms against Russia viral
Alt News,"PM Modi's speech obstruction came due to technical failure, not teleprompters."
Alt News,UP election: viral picture of Asududdin Owaisi sitting with Mohan Bhagwat fake
Alt News,"Video of Farooq Abdullah singing bhajan old, article 370 has no relation with the removal of it"
Alt News,"Aryan Khan, a person urinating at the airport in a state of intoxication in viral video"
Alt News,"PM Modi did not touch IAS officer Aarti Dogra's feet, wrong claims with viral picture"
Alt News,"On the basis of incorrect information, right -wing group attacked Missionary School in Madhya Pradesh"
Alt News,Video of Hindus protesting in Chhattisgarh shared by telling the incident of Mathura
Alt News,Fake statement of Ravish Kumar by linking General Bipin Rawat and his wife's death viral
Alt News,Fact-check: Yogi Adityanath scolded Keshav Prasad Maurya on stage?
Alt News,Old video of farmers throwing tomatoes viral supporting agriculture law
